iter	Logloss	Accuracy	Precision
49	0.4273065395	0.8138175186	0.8141729602
50	0.4262537908	0.814258554	0.8144852485
51	0.4253903196	0.8147413089	0.8149814009
52	0.42471865	0.8151406247	0.8154001386
53	0.4241459956	0.8153492225	0.8155246591
54	0.423617868	0.8156591393	0.8157408757
55	0.4227528573	0.8160584551	0.8160442096
56	0.4219994941	0.8163743317	0.8164390884
57	0.4212923782	0.8168988062	0.8169659127
58	0.4206422074	0.817208723	0.8171815797
59	0.4201163385	0.817584199	0.8174446131
60	0.4192072812	0.8177629971	0.8175881532
61	0.4187154191	0.817870276	0.817643418
62	0.4183347488	0.8181623129	0.8177672117
63	0.4179477432	0.8183411111	0.8179568666
64	0.4175407826	0.8184722297	0.8180131454
65	0.4170422242	0.818722547	0.8183604648
66	0.4165837837	0.8189311448	0.8183680644
67	0.4157006355	0.8194734991	0.8189699071
68	0.4149595323	0.8199145345	0.8193952767
69	0.4143019717	0.8201648519	0.819673125
70	0.4134899935	0.8206952863	0.8201466756
71	0.4128016207	0.8211422816	0.8205740467
72	0.4121754571	0.821481998	0.8208767103
73	0.4118978147	0.8215058378	0.8208542866
74	0.4111970837	0.8217859548	0.8212441514
75	0.4107788437	0.8218574741	0.8212000775
76	0.4104586528	0.8220362722	0.821233922
77	0.4101661865	0.8223461889	0.8214242476
78	0.4098404357	0.8225190271	0.82158033
79	0.4094227108	0.822626306	0.8217905712
80	0.4089941949	0.822811064	0.8219899726
81	0.4086782668	0.822817024	0.8218907761
82	0.4082613411	0.8229719823	0.8220169715
83	0.407437323	0.8234010978	0.8224293409
84	0.4070084054	0.8237229344	0.8227092839
85	0.4065393369	0.824044771	0.8230360536
86	0.4061505177	0.8242295291	0.8232197318
87	0.405763422	0.8244977263	0.8234098416
88	0.4054337949	0.8245394458	0.8234795867
89	0.4049334338	0.8248851222	0.823783483
90	0.4044576267	0.8252129188	0.8241358032
91	0.4041707298	0.8252665582	0.8242412508
92	0.4034619463	0.8257373932	0.8246446071
93	0.4030595876	0.8259936705	0.8248614908
94	0.4027386354	0.8262082283	0.8249220129
95	0.4025074929	0.826333387	0.8249585998
96	0.4020836187	0.8266492636	0.8252435398
