app,gender,more_then_2_sessions
rest,m,50.000000000000000000
mobile,m,24.260050829398131833
mobile,f,21.241233408682547963
desktop,m,18.918586032762655499
desktop,f,16.853250021695738957
android,m,10.000000000000000000
android,f,0.000000000000000000
